Date,WORLD,WORLD VALUE,WORLD QUALITY,WORLD MOMENTUM,EUROPE SMALL CAP VALUE WEIGHTED,USA SMALL CAP VALUE WEIGHTED,USA PRIME VALUE,EMU PRIME VALUE,EMERGING MARKETS
1999-01-29,"5,648","4,161","7,261","8,287","1,467","3,649","1,406","-0,437","1,649"
1999-02-26,"0,686","2,190","-0,330","-0,401","3,036","-5,093","1,233","0,267","4,386"
1999-03-31,"5,900","6,371","5,135","4,882","3,363","1,725","4,451","1,474","14,772"
1999-04-30,"6,054","10,213","3,180","1,437","7,035","12,079","12,472","8,336","14,521"
1999-05-31,"-2,273","-2,427","-1,228","-1,779","0,355","3,689","2,022","-2,566","0,547"
1999-06-30,"5,828","4,454","6,119","8,600","2,071","5,365","0,624","4,486","12,391"
1999-07-30,"-3,946","-3,231","-5,397","-3,966","-0,465","-5,494","-6,715","-1,964","-6,407"
1999-08-31,"1,132","-0,194","1,990","0,947","2,653","-2,891","-2,049","1,928","2,171"
1999-09-30,"-1,792","-2,902","-3,534","-0,284","-1,671","-2,530","-7,446","-4,400","-4,298"
1999-10-29,"6,575","5,194","6,657","8,139","-0,334","-0,357","6,121","2,034","3,391"
1999-11-30,"7,308","4,029","8,164","12,097","4,010","7,973","0,672","1,631","13,709"
1999-12-31,"8,572","4,861","7,847","18,702","6,200","5,220","-0,120","6,680","13,100"
2000-01-31,"-3,426","-2,776","-3,539","-3,975","1,522","-1,240","-2,729","-8,325","2,866"
2000-02-29,"1,882","-1,907","2,642","10,031","4,247","4,035","-8,404","1,317","2,933"
2000-03-31,"7,553","8,718","7,911","4,288","0,388","4,906","13,308","5,007","0,948"
2000-04-28,"0,558","3,194","1,760","-2,519","-0,603","1,589","7,004","-1,000","-5,093"
2000-05-31,"-4,241","-1,035","-5,024","-9,188","-1,398","-4,468","1,642","1,447","-6,020"
2000-06-30,"-0,004","-2,422","2,293","2,173","0,564","-0,622","-11,806","-0,946","-0,154"
2000-07-31,"0,524","2,731","0,030","-0,743","2,336","5,111","9,659","5,849","-1,993"
2000-08-31,"7,601","7,313","6,672","10,567","4,247","10,288","10,910","2,352","4,588"
2000-09-29,"-4,621","-0,901","-5,764","-10,356","-1,299","-0,954","2,520","-1,168","-8,179"
2000-10-31,"2,354","4,898","5,229","-1,900","-0,372","1,987","6,952","4,661","-3,490"
2000-11-30,"-8,554","-7,083","-7,622","-6,138","-2,358","-6,578","-4,087","0,016","-11,199"
2000-12-29,"-5,793","-2,868","-7,384","-4,249","-0,643","1,269","-0,655","2,631","-5,167"
2001-01-31,"2,900","1,971","1,735","-3,518","4,681","11,577","8,287","0,822","14,847"
2001-02-28,"-7,432","-3,838","-8,237","-3,761","-0,274","-2,869","-2,490","0,576","-6,801"
2001-03-30,"-2,823","-1,304","-3,201","-1,931","-4,032","0,185","3,083","-4,526","-6,237"
